Order	Port	Parameter Assignment	Word	SubF	Supf	MSB	LSB
359	B111	GEAR LEVER UP	315	0	0	2	2
369	B119	CUSTOMER UNIQUE FRAME	317	3	0	2	2
11	A 1	VERTICAL ACCELERATION	322	0	0	12	1
66	A 7	ELEV POS-L	324	0	0	12	1
42	A 4	CONTROL COL POSN - CAPT	326	0	0	12	2
118	A15	SPD BRAKE HANDLE POSN	328	0	0	12	1
74	A 8	ELEV POS-R	330	0	0	12	1
124	A16	CONTROL COL POSN - F/O	332	0	0	12	2
235	B 20	NOSE GEAR DOWN	332	0	0	1	1
103	A13	LONGITUDINAL ACCELERATION	333	0	0	12	3
211	B 9	RT GEAR DOWN	333	0	0	1	1
233	B 19	LT GEAR DOWN	333	0	0	2	2
82	A10	AIL POS-L	337	0	0	12	1
177	B 3	VHF LT KEYING	338	0	0	1	1
185	B 4	VHF RT KEYING	338	0	0	2	2
50	A 5	CONTROL WHEEL POSN - CAPT	339	0	0	12	3
199	B 7	HF-LT KEYING	339	0	0	1	1
207	B 8	HF-RT KEYING	339	0	0	2	2
330	B101	SAT COMM #1 KEYING	340	0	0	1	1
338	B102	SAT COMM #2 KEYING	340	0	0	2	2
31	A 3	LATERAL ACCELERATION	341	0	0	12	3
223	B 13	AUTO BRAKE APPLIED	342	0	0	1	1
90	A11	AIL POS-R	343	0	0	12	1
114	A14	CONTROL WHEEL POSN - F/O	345	0	0	12	3
12	A 1	VERTICAL ACCELERATION	354	0	0	12	1
